年,月,日,気温,品質,均質
2011,6,9,23.3,8,1
2011,6,10,22.7,8,1
2011,6,11,20.8,8,1
2011,6,12,20.5,8,1
2011,6,13,21.1,8,1
2011,6,14,21.5,8,1
2011,6,15,21.8,8,1
2011,6,16,19.5,8,1
2011,6,17,20.7,8,1
2011,6,18,20.9,8,1
2011,6,19,20.7,8,1
2011,6,20,23,8,1
2011,6,21,25,8,1
2011,6,22,27.3,8,1
2011,6,23,29.1,8,1
2011,6,24,29.4,8,1
2011,6,25,27.2,8,1
2011,6,26,28.2,8,1
2011,6,27,23.9,8,1
2011,6,28,27.3,8,1
2011,6,29,28,8,1
2011,6,30,27,8,1
2011,7,1,25.1,8,1
2011,7,2,26.3,8,1
2011,7,3,27.9,8,1
2011,7,4,25.9,8,1
2011,7,5,25.7,8,1
2011,7,6,23.8,8,1
2011,7,7,27.3,8,1
2011,7,8,29.8,8,1
2011,7,9,29.8,8,1
2011,7,10,28.3,8,1
2011,7,11,27.5,8,1
2011,7,12,28.6,8,1
2011,7,13,28.2,8,1
2011,7,14,28.6,8,1
2011,7,15,28.9,8,1
2011,7,16,28.9,8,1
2011,7,17,29.2,8,1
2011,7,18,28,8,1
2011,7,19,27.6,8,1
2011,7,20,23.8,8,1
2011,7,21,22.6,8,1
2011,7,22,24,8,1
2011,7,23,23.9,8,1
2011,7,24,25.1,8,1
2011,7,25,26.9,8,1
2011,7,26,27.9,8,1
2011,7,27,28.5,8,1
2011,7,28,29,8,1
2011,7,29,28.5,8,1
2011,7,30,28.3,8,1
2011,7,31,27.8,8,1
2011,8,1,28.1,8,1
2011,8,2,29.1,8,1
2011,8,3,29.4,8,1
2011,8,4,29.5,8,1
2011,8,5,28.9,8,1
2011,8,6,27.8,8,1
2011,8,7,29.2,8,1
2011,8,8,29.9,8,1
2011,8,9,29,8,1
2011,8,10,28.7,8,1
2011,8,11,28.4,8,1
2011,8,12,29,8,1
2011,8,13,30,8,1
2011,8,14,27.3,8,1
2011,8,15,27.6,8,1
2011,8,16,28.4,8,1
2011,8,17,29.2,8,1
2011,8,18,27.2,8,1
2011,8,19,26.7,8,1
2011,8,20,25.2,8,1
2011,8,21,24.3,8,1
2011,8,22,24.3,8,1
2011,8,23,23.5,8,1
2011,8,24,25.8,8,1
2011,8,25,27.6,8,1
2011,8,26,26.8,8,1
2011,8,27,27.7,8,1
2011,8,28,28.6,8,1
2011,8,29,28.8,8,1
2011,8,30,28.2,8,1
2011,8,31,28.2,8,1
2011,9,1,28.3,8,1
2011,9,2,27.7,8,1
2011,9,3,24.8,8,1
2011,9,4,24.4,8,1
2011,9,5,24,8,1
2011,9,6,23.2,8,1
2011,9,7,23.7,8,1
2011,9,8,25.5,8,1
2011,9,9,26.8,8,1
2011,9,10,28.5,8,1
2011,9,11,27.9,8,1
2011,9,12,27.7,8,1
2011,9,13,27.7,8,1
2011,9,14,27.7,8,1
2011,9,15,28.2,8,1
2011,9,16,26.6,8,1
2011,9,17,26.9,8,1
2011,9,18,26,8,1
2011,9,19,22.3,8,1
2011,9,20,20.9,8,1
2011,9,21,21,8,1
2011,9,22,20.3,8,1
